Ref,Val,Package,PosX,PosY,Rot,Side
"C23","0.1uF","C_0402_1005Metric",231.238955,-168.332732,0.000000,bottom
"C111","1uF","C_0402_1005Metric",136.860545,-161.241142,-90.000000,bottom
"C112","1uF","C_0402_1005Metric",137.568045,-174.916142,-90.000000,bottom
"C113","1uF","C_0402_1005Metric",137.450545,-188.666142,-90.000000,bottom
"C115","1uF","C_0402_1005Metric",136.850545,-163.491142,90.000000,bottom
"C116","1uF","C_0402_1005Metric",137.588045,-177.156142,90.000000,bottom
"C117","1uF","C_0402_1005Metric",137.460545,-190.956142,90.000000,bottom
"C118","1uF","C_0402_1005Metric",137.860545,-155.876142,-90.000000,bottom
"C119","1uF","C_0402_1005Metric",137.630545,-169.816142,-90.000000,bottom
"C120","1uF","C_0402_1005Metric",137.810545,-182.886142,-90.000000,bottom
"C122","1uF","C_0402_1005Metric",137.860545,-158.136142,90.000000,bottom
"C156","1uF","C_0402_1005Metric",137.628045,-172.081142,90.000000,bottom
"C157","1uF","C_0402_1005Metric",137.820545,-185.141142,90.000000,bottom
"C159","1uF","C_0402_1005Metric",142.550545,-162.736142,90.000000,bottom
"C160","1uF","C_0402_1005Metric",142.320545,-175.936142,90.000000,bottom
"C161","1uF","C_0402_1005Metric",142.240545,-190.941142,90.000000,bottom
"C162","1uF","C_0402_1005Metric",143.550545,-162.736142,90.000000,bottom
"C163","1uF","C_0402_1005Metric",143.350545,-176.586142,90.000000,bottom
"C164","1uF","C_0402_1005Metric",143.320545,-190.941142,90.000000,bottom
"C168","0.1uF","C_0402_1005Metric",154.690000,-153.465000,-90.000000,bottom
"C169","0.1uF","C_0402_1005Metric",152.220000,-166.390000,-90.000000,bottom
"C170","0.1uF","C_0402_1005Metric",152.040000,-180.260000,-90.000000,bottom
"C174","1uF","C_0402_1005Metric",153.630000,-153.465000,-90.000000,bottom
"C175","1uF","C_0402_1005Metric",153.265000,-166.390000,-90.000000,bottom
"C176","1uF","C_0402_1005Metric",153.085000,-180.260000,-90.000000,bottom
"C177","100uF","C_1206_3216Metric",156.440000,-153.465000,-90.000000,bottom
"C178","100uF","C_1206_3216Metric",142.945545,-167.066142,-90.000000,bottom
"C179","100uF","C_1206_3216Metric",154.740545,-179.986142,-90.000000,bottom
"C180","1uF","C_0402_1005Metric",158.910545,-185.176142,-90.000000,bottom
"C181","1uF","C_0402_1005Metric",158.610545,-171.361142,-90.000000,bottom
"C182","1uF","C_0402_1005Metric",159.043045,-153.501142,-90.000000,bottom
"C183","1uF","C_0402_1005Metric",158.910545,-187.476142,90.000000,bottom
"C184","1uF","C_0402_1005Metric",158.610545,-173.621142,90.000000,bottom
"C185","1uF","C_0402_1005Metric",159.053045,-155.781142,90.000000,bottom
"C186","1uF","C_0402_1005Metric",161.413045,-190.061142,-90.000000,bottom
"C187","1uF","C_0402_1005Metric",179.700545,-173.668642,90.000000,bottom
"C188","1uF","C_0402_1005Metric",156.823045,-159.346142,-90.000000,bottom
"C189","1uF","C_0402_1005Metric",161.403045,-192.321142,90.000000,bottom
"C190","1uF","C_0402_1005Metric",179.700545,-171.398642,-90.000000,bottom
"C191","1uF","C_0402_1005Metric",156.813045,-161.626142,90.000000,bottom
"C192","1uF","C_0402_1005Metric",164.830545,-184.086142,90.000000,bottom
"C193","1uF","C_0402_1005Metric",176.630545,-169.706142,180.000000,bottom
"C194","1uF","C_0402_1005Metric",164.030545,-153.406142,90.000000,bottom
"C195","1uF","C_0402_1005Metric",163.720545,-184.086142,90.000000,bottom
"C196","1uF","C_0402_1005Metric",164.900545,-171.356142,90.000000,bottom
"C197","1uF","C_0402_1005Metric",165.020545,-153.406142,90.000000,bottom
"C201","0.1uF","C_0402_1005Metric",174.758545,-193.456142,90.000000,bottom
"C202","0.1uF","C_0402_1005Metric",174.760000,-180.380000,90.000000,bottom
"C203","0.1uF","C_0402_1005Metric",174.720000,-166.590000,90.000000,bottom
"C207","1uF","C_0402_1005Metric",173.688545,-193.456142,90.000000,bottom
"C208","1uF","C_0402_1005Metric",173.670000,-180.380000,90.000000,bottom
"C209","1uF","C_0402_1005Metric",173.665000,-166.590000,90.000000,bottom
"C210","100uF","C_1206_3216Metric",176.548545,-194.792142,90.000000,bottom
"C211","100uF","C_1206_3216Metric",176.410545,-180.601142,90.000000,bottom
"C212","100uF","C_1206_3216Metric",176.400545,-166.726142,90.000000,bottom
"C213","1uF","C_0402_1005Metric",206.540545,-160.716142,90.000000,bottom
"C214","1uF","C_0402_1005Metric",182.410545,-171.156142,-90.000000,bottom
"C215","1uF","C_0402_1005Metric",179.693045,-185.696142,-90.000000,bottom
"C216","1uF","C_0402_1005Metric",206.540545,-158.436142,-90.000000,bottom
"C217","1uF","C_0402_1005Metric",182.410545,-173.436142,90.000000,bottom
"C218","1uF","C_0402_1005Metric",179.713045,-187.996142,90.000000,bottom
"C219","1uF","C_0402_1005Metric",180.400545,-158.376142,-90.000000,bottom
"C220","1uF","C_0402_1005Metric",202.039294,-173.489891,90.000000,bottom
"C221","1uF","C_0402_1005Metric",179.713045,-190.506142,-90.000000,bottom
"C222","1uF","C_0402_1005Metric",180.410545,-160.656142,90.000000,bottom
"C223","1uF","C_0402_1005Metric",202.019294,-171.209891,-90.000000,bottom
"C224","1uF","C_0402_1005Metric",179.693045,-192.806142,90.000000,bottom
"C225","1uF","C_0402_1005Metric",185.830545,-160.866142,90.000000,bottom
"C226","1uF","C_0402_1005Metric",198.370545,-175.366142,180.000000,bottom
"C227","1uF","C_0402_1005Metric",185.020545,-191.656142,90.000000,bottom
"C228","1uF","C_0402_1005Metric",201.663045,-160.751142,-90.000000,bottom
"C229","1uF","C_0402_1005Metric",185.930545,-176.236142,90.000000,bottom
"C230","1uF","C_0402_1005Metric",186.090545,-191.666142,90.000000,bottom
"C234","0.1uF","C_0402_1005Metric",195.009545,-153.380142,-90.000000,bottom
"C235","0.1uF","C_0402_1005Metric",196.150545,-166.696142,-90.000000,bottom
"C236","0.1uF","C_0402_1005Metric",195.020000,-180.380000,-90.000000,bottom
"C240","1uF","C_0402_1005Metric",196.094545,-153.380142,-90.000000,bottom
"C241","1uF","C_0402_1005Metric",195.120545,-166.686142,-90.000000,bottom
"C242","1uF","C_0402_1005Metric",196.050000,-180.380000,-90.000000,bottom
"C243","100uF","C_1206_3216Metric",197.944545,-152.328142,-90.000000,bottom
"C244","100uF","C_1206_3216Metric",198.000545,-166.716142,-90.000000,bottom
"C245","100uF","C_1206_3216Metric",197.710545,-180.576142,-90.000000,bottom
"C246","1uF","C_0402_1005Metric",226.438045,-190.788642,90.000000,bottom
"C247","1uF","C_0402_1005Metric",226.420545,-177.048642,90.000000,bottom
"C248","1uF","C_0402_1005Metric",226.358045,-163.168642,90.000000,bottom
"C249","1uF","C_0402_1005Metric",226.418045,-188.518642,-90.000000,bottom
"C250","1uF","C_0402_1005Metric",226.420545,-174.828642,-90.000000,bottom
"C251","1uF","C_0402_1005Metric",226.338045,-160.898642,-90.000000,bottom
"C252","1uF","C_0402_1005Metric",226.418045,-185.868642,90.000000,bottom
"C253","1uF","C_0402_1005Metric",226.400545,-172.138642,90.000000,bottom
"C254","1uF","C_0402_1005Metric",226.338045,-158.268642,90.000000,bottom
"C255","1uF","C_0402_1005Metric",226.438045,-183.598642,-90.000000,bottom
"C256","1uF","C_0402_1005Metric",226.400545,-169.848642,-90.000000,bottom
"C257","1uF","C_0402_1005Metric",226.318045,-155.968642,-90.000000,bottom
"C258","1uF","C_0402_1005Metric",220.540545,-186.016142,-90.000000,bottom
"C259","1uF","C_0402_1005Metric",219.945545,-171.991142,-90.000000,bottom
"C260","1uF","C_0402_1005Metric",220.940545,-157.066142,-90.000000,bottom
"C261","1uF","C_0402_1005Metric",219.490545,-186.016142,-90.000000,bottom
"C262","1uF","C_0402_1005Metric",221.000545,-171.991142,-90.000000,bottom
"C263","1uF","C_0402_1005Metric",219.940545,-157.066142,-90.000000,bottom
"C267","0.1uF","C_0402_1005Metric",217.992545,-193.969142,90.000000,bottom
"C268","0.1uF","C_0402_1005Metric",217.440545,-180.496142,90.000000,bottom
"C269","0.1uF","C_0402_1005Metric",217.425545,-166.656142,90.000000,bottom
"C273","1uF","C_0402_1005Metric",216.922545,-193.964142,90.000000,bottom
"C274","1uF","C_0402_1005Metric",216.340545,-180.496142,90.000000,bottom
"C275","1uF","C_0402_1005Metric",216.320545,-166.656142,90.000000,bottom
"C276","100uF","C_1206_3216Metric",219.732545,-193.969142,90.000000,bottom
"C277","100uF","C_1206_3216Metric",219.370545,-180.476142,90.000000,bottom
"C278","100uF","C_1206_3216Metric",219.370545,-166.706142,90.000000,bottom
"LOGO1","256 Foundation Logo","256foundation_logo",161.740000,-141.940000,180.000000,bottom
"R12","33","R_0402_1005Metric",201.410545,-184.306142,180.000000,bottom
"R13","33","R_0402_1005Metric",201.410545,-185.266142,180.000000,bottom
"R14","33","R_0402_1005Metric",201.410545,-186.226142,180.000000,bottom
"R15","33","R_0402_1005Metric",201.410545,-187.186142,180.000000,bottom
"R16","33","R_0402_1005Metric",201.410545,-188.146142,180.000000,bottom
"R17","2k","R_0402_1005Metric",205.520545,-188.141142,0.000000,bottom
"R18","10k","R_0402_1005Metric",220.100545,-160.636142,90.000000,bottom
"R56","2k","R_0402_1005Metric",143.320545,-188.566142,-90.000000,bottom
"R57","33","R_0402_1005Metric",137.904545,-180.046142,-90.000000,bottom
"R58","33","R_0402_1005Metric",138.908545,-180.046142,-90.000000,bottom
"R59","33","R_0402_1005Metric",139.912545,-180.046142,-90.000000,bottom
"R60","33","R_0402_1005Metric",140.916545,-180.046142,-90.000000,bottom
"R62","33","R_0402_1005Metric",141.920545,-180.046142,-90.000000,bottom
"R63","33","R_0402_1005Metric",155.720545,-171.426142,180.000000,bottom
"R64","1k","R_0402_1005Metric",134.670545,-161.241142,90.000000,bottom
"R65","33","R_0402_1005Metric",155.720545,-172.432142,180.000000,bottom
"R66","1k","R_0402_1005Metric",164.145545,-182.191142,180.000000,bottom
